Algorithm run;Places;Relations;SCC's;Fixed-point pruning steps (ms);SSC/ms;Symbolic steps;
Xie-Beerel saturation;11;11;1;3;0,333333;102;
Xie-Beerel backward saturation;11;11;1;0;inf;102;
Lockstep saturation;11;11;1;0;inf;102;
Xie-Beerel relation union;11;11;1;5;0,200000;154;
Xie-Beerel backward relation union;11;11;1;1;1,000000;154;
Lockstep relation union;11;11;1;1;1,000000;154;

Algorithm run;Places;Relations;SCC's;Fixed-point pruning steps (ms);SSC/ms;Symbolic steps;
Xie-Beerel saturation;17;22;9;69;0,130435;2630;
Xie-Beerel backward saturation;17;22;9;26;0,346154;2174;
Lockstep saturation;17;22;9;18;0,500000;2546;
Xie-Beerel relation union;17;22;9;51;0,176471;2090;
Xie-Beerel backward relation union;17;22;9;21;0,428571;1892;
Lockstep relation union;17;22;9;12;0,750000;2024;

Algorithm run;Places;Relations;SCC's;Fixed-point pruning steps (ms);SSC/ms;Symbolic steps;
Xie-Beerel saturation;19;19;1;15;0,066667;361;
Xie-Beerel backward saturation;19;19;1;5;0,200000;361;
Lockstep saturation;19;19;1;5;0,200000;361;
Xie-Beerel relation union;19;19;1;36;0,027778;456;
Xie-Beerel backward relation union;19;19;1;4;0,250000;456;
Lockstep relation union;19;19;1;3;0,333333;456;

Algorithm run;Places;Relations;SCC's;Fixed-point pruning steps (ms);SSC/ms;Symbolic steps;
Xie-Beerel saturation;22;17;1;24;0,041667;500;
Xie-Beerel backward saturation;22;17;1;6;0,166667;500;
Lockstep saturation;22;17;1;3;0,333333;500;
Xie-Beerel relation union;22;17;1;62;0,016129;629;
Xie-Beerel backward relation union;22;17;1;5;0,200000;629;
Lockstep relation union;22;17;1;5;0,200000;629;

Algorithm run;Places;Relations;SCC's;Fixed-point pruning steps (ms);SSC/ms;Symbolic steps;
Xie-Beerel saturation;24;29;189;237;0,797468;16833;
Xie-Beerel backward saturation;24;29;189;139;1,359712;16809;
Lockstep saturation;24;29;189;119;1,588235;17623;
Xie-Beerel relation union;24;29;189;200;0,945000;21228;
Xie-Beerel backward relation union;24;29;189;158;1,196203;22040;
Lockstep relation union;24;29;189;155;1,219355;23432;

Algorithm run;Places;Relations;SCC's;Fixed-point pruning steps (ms);SSC/ms;Symbolic steps;
Xie-Beerel saturation;27;27;1;30;0,033333;834;
Xie-Beerel backward saturation;27;27;1;12;0,083333;834;
Lockstep saturation;27;27;1;10;0,100000;834;
Xie-Beerel relation union;27;27;1;67;0,014925;972;
Xie-Beerel backward relation union;27;27;1;8;0,125000;972;
Lockstep relation union;27;27;1;8;0,125000;972;

Algorithm run;Places;Relations;SCC's;Fixed-point pruning steps (ms);SSC/ms;Symbolic steps;
Xie-Beerel saturation;28;21;1;29;0,034483;889;
Xie-Beerel backward saturation;28;21;1;8;0,125000;889;
Lockstep saturation;28;21;1;8;0,125000;889;
Xie-Beerel relation union;28;21;1;89;0,011236;1197;
Xie-Beerel backward relation union;28;21;1;13;0,076923;1197;
Lockstep relation union;28;21;1;10;0,100000;1197;

Algorithm run;Places;Relations;SCC's;Fixed-point pruning steps (ms);SSC/ms;Symbolic steps;
Xie-Beerel saturation;31;41;1727;4550;0,379560;299548;
Xie-Beerel backward saturation;31;41;1727;3628;0,476020;268707;
Lockstep saturation;31;41;1727;4594;0,375925;299592;
Xie-Beerel relation union;31;41;1727;4381;0,394202;318406;
Xie-Beerel backward relation union;31;41;1727;4001;0,431642;297742;
Lockstep relation union;31;41;1727;4847;0,356303;333248;

Algorithm run;Places;Relations;SCC's;Fixed-point pruning steps (ms);SSC/ms;Symbolic steps;
Xie-Beerel saturation;34;29;198;894;0,221477;32660;
Xie-Beerel backward saturation;34;29;198;733;0,270123;32783;
Lockstep saturation;34;29;198;825;0,240000;33589;
Xie-Beerel relation union;34;29;198;1678;0,117998;31146;
Xie-Beerel backward relation union;34;29;198;1367;0,144843;33553;
Lockstep relation union;34;29;198;1781;0,111173;34191;

Algorithm run;Places;Relations;SCC's;Fixed-point pruning steps (ms);SSC/ms;Symbolic steps;
Xie-Beerel saturation;35;35;1;50;0,020000;1475;
Xie-Beerel backward saturation;35;35;1;14;0,071429;1475;
Lockstep saturation;35;35;1;13;0,076923;1475;
Xie-Beerel relation union;35;35;1;177;0,005650;1645;
Xie-Beerel backward relation union;35;35;1;24;0,041667;1645;
Lockstep relation union;35;35;1;15;0,066667;1645;

Algorithm run;Places;Relations;SCC's;Fixed-point pruning steps (ms);SSC/ms;Symbolic steps;
Xie-Beerel saturation;38;113;75;1325;0,056604;116515;
Xie-Beerel backward saturation;38;113;75;1227;0,061125;122007;
Lockstep saturation;38;113;75;1333;0,056264;122280;
Xie-Beerel relation union;38;113;75;1958;0,038304;155714;
Xie-Beerel backward relation union;38;113;75;2104;0,035646;167014;
Lockstep relation union;38;113;75;2342;0,032024;163963;

Algorithm run;Places;Relations;SCC's;Fixed-point pruning steps (ms);SSC/ms;Symbolic steps;
Xie-Beerel saturation;41;127;75;1642;0,045676;143241;
Xie-Beerel backward saturation;41;127;75;1591;0,047140;148695;
Lockstep saturation;41;127;75;1683;0,044563;149043;
Xie-Beerel relation union;41;127;75;2465;0,030426;194056;
Xie-Beerel backward relation union;41;127;75;2689;0,027891;206756;
Lockstep relation union;41;127;75;2907;0,025800;203327;

Algorithm run;Places;Relations;SCC's;Fixed-point pruning steps (ms);SSC/ms;Symbolic steps;
Xie-Beerel saturation;41;31;1;78;0,012821;2011;
Xie-Beerel backward saturation;41;31;1;18;0,055556;2011;
Lockstep saturation;41;31;1;17;0,058824;2011;
Xie-Beerel relation union;41;31;1;575;0,001739;2170;
Xie-Beerel backward relation union;41;31;1;309;0,003236;2170;
Lockstep relation union;41;31;1;494;0,002024;2170;

Algorithm run;Places;Relations;SCC's;Fixed-point pruning steps (ms);SSC/ms;Symbolic steps;
Xie-Beerel saturation;43;43;1;106;0,009434;2774;
Xie-Beerel backward saturation;43;43;1;24;0,041667;2774;
Lockstep saturation;43;43;1;21;0,047619;2774;
Xie-Beerel relation union;43;43;1;787;0,001271;2494;
Xie-Beerel backward relation union;43;43;1;714;0,001401;2494;
Lockstep relation union;43;43;1;787;0,001271;2494;

Algorithm run;Places;Relations;SCC's;Fixed-point pruning steps (ms);SSC/ms;Symbolic steps;
Xie-Beerel saturation;43;48;55;436;0,126147;21404;
Xie-Beerel backward saturation;43;48;55;237;0,232068;18843;
Lockstep saturation;43;48;55;158;0,348101;19454;
Xie-Beerel relation union;43;48;55;343;0,160350;18096;
Xie-Beerel backward relation union;43;48;55;178;0,308989;16656;
Lockstep relation union;43;48;55;142;0,387324;17856;

Algorithm run;Places;Relations;SCC's;Fixed-point pruning steps (ms);SSC/ms;Symbolic steps;
Xie-Beerel saturation;45;145;75;2205;0,034014;193845;
Xie-Beerel backward saturation;45;145;75;2191;0,034231;199424;
Lockstep saturation;45;145;75;2604;0,028802;199779;
Xie-Beerel relation union;45;145;75;3362;0,022308;243310;
Xie-Beerel backward relation union;45;145;75;3684;0,020358;257810;
Lockstep relation union;45;145;75;4588;0,016347;253895;

Algorithm run;Places;Relations;SCC's;Fixed-point pruning steps (ms);SSC/ms;Symbolic steps;
Xie-Beerel saturation;53;39;1;161;0,006211;4232;
Xie-Beerel backward saturation;53;39;1;40;0,025000;4232;
Lockstep saturation;53;39;1;34;0,029412;4232;
Xie-Beerel relation union;53;39;1;7395;0,000135;4680;
Xie-Beerel backward relation union;53;39;1;6690;0,000149;4680;
Lockstep relation union;53;39;1;8799;0,000114;4680;

Algorithm run;Places;Relations;SCC's;Fixed-point pruning steps (ms);SSC/ms;Symbolic steps;
Xie-Beerel saturation;60;45;1;205;0,004878;4783;
Xie-Beerel backward saturation;60;45;1;48;0,020833;4783;
Lockstep saturation;60;45;1;42;0,023810;4783;
Xie-Beerel relation union;60;45;1;49240;0,000020;4950;
Xie-Beerel backward relation union;60;45;1;36154;0,000028;4950;
Lockstep relation union;60;45;1;40617;0,000025;4950;

Algorithm run;Places;Relations;SCC's;Fixed-point pruning steps (ms);SSC/ms;Symbolic steps;
Xie-Beerel saturation;78;57;1;542;0,001845;11408;
Xie-Beerel backward saturation;78;57;1;181;0,005525;11408;
Lockstep saturation;78;57;1;116;0,008621;11408;
Xie-Beerel relation union;78;57;1;466938;0,000002;10773;
Xie-Beerel backward relation union;78;57;1;457831;0,000002;10773;
Lockstep relation union;78;57;1;471003;0,000002;10773;

Algorithm run;Places;Relations;SCC's;Fixed-point pruning steps (ms);SSC/ms;Symbolic steps;
Xie-Beerel saturation;79;59;1;749;0,001335;9546;
Xie-Beerel backward saturation;79;59;1;277;0,003610;9546;
Lockstep saturation;79;59;1;118;0,008475;9546;
Xie-Beerel relation union;79;59;1;655914;0,000002;8909;
Xie-Beerel backward relation union;79;59;1;660203;0,000002;8909;
Lockstep relation union;79;59;1;747509;0,000001;8909;

